time,pressure,temperature,salinity,density,latitude,longitude
2024-08-14 04:44:46.419,124.329994,20.6135,36.700817,1026.3289,27.490606,-95.32414
2024-08-14 04:44:48.430,124.399994,20.6121,36.69948,1026.3286,27.4906,-95.32414
2024-08-14 04:44:49.436,124.6298,20.612299,36.69788,1026.3282,27.490599,-95.32414
2024-08-14 04:44:50.444,124.86,20.6125,36.696278,1026.328,27.490597,-95.32414
2024-08-14 04:44:51.450,124.995026,20.6106,36.695835,1026.3287,27.490595,-95.32414
2024-08-14 04:44:52.455,125.13,20.6087,36.695393,1026.3296,27.490595,-95.32414
2024-08-14 04:44:53.461,125.13,20.603405,36.695904,1026.3314,27.490593,-95.32414
2024-08-14 04:44:54.469,125.13,20.5981,36.696415,1026.3333,27.49059,-95.32414
2024-08-14 04:44:55.473,125.36377,20.586264,36.697212,1026.3381,27.490587,-95.32414
2024-08-14 04:44:56.487,125.600006,20.5743,36.69802,1026.343,27.490585,-95.32414
2024-08-14 04:44:58.501,125.670006,20.5532,36.698246,1026.3492,27.490582,-95.32414
2024-08-14 04:44:59.504,125.774895,20.550203,36.696648,1026.3492,27.49058,-95.324135
2024-08-14 04:45:00.509,125.880005,20.5472,36.695045,1026.3492,27.490578,-95.324135
2024-08-14 04:45:01.515,125.994865,20.544353,36.695023,1026.3506,27.490576,-95.324135
2024-08-14 04:45:02.522,126.11,20.5415,36.695004,1026.3518,27.490574,-95.324135
2024-08-14 04:45:03.526,126.255005,20.53935,36.69428,1026.3524,27.490572,-95.324135
2024-08-14 04:45:04.530,126.4,20.5372,36.693558,1026.3531,27.49057,-95.324135
2024-08-14 04:45:05.537,126.63042,20.534897,36.692856,1026.3542,27.490568,-95.324135
2024-08-14 04:45:07.549,127.115654,20.523626,36.69194,1026.3588,27.490562,-95.324135
2024-08-14 04:45:08.553,127.37,20.5147,36.691723,1026.362,27.49056,-95.324135
2024-08-14 04:45:09.559,127.459885,20.509357,36.692,1026.3641,27.490559,-95.32413
2024-08-14 04:45:10.567,127.55,20.504,36.692276,1026.3662,27.490557,-95.32413
2024-08-14 04:45:11.571,127.45505,20.497103,36.692577,1026.3679,27.490555,-95.32413
2024-08-14 04:45:12.576,127.36,20.4902,36.692875,1026.3695,27.490555,-95.32413
2024-08-14 04:45:13.583,127.730644,20.473671,36.693893,1026.3765,27.490553,-95.32413
2024-08-14 04:45:14.587,128.1,20.4572,36.69491,1026.3833,27.490551,-95.32413
2024-08-14 04:45:15.606,127.96934,20.422874,36.70025,1026.3961,27.49055,-95.32413
2024-08-14 04:45:17.617,128.02469,20.374525,36.706715,1026.4143,27.490543,-95.32412
2024-08-14 04:45:18.622,128.21,20.3601,36.707897,1026.4199,27.490541,-95.32412
2024-08-14 04:45:19.630,128.23004,20.33751,36.708237,1026.4264,27.490541,-95.32412
2024-08-14 04:45:20.635,128.25,20.315,36.70857,1026.4329,27.49054,-95.32412
2024-08-14 04:45:21.641,128.65547,20.303087,36.70651,1026.4362,27.490538,-95.32412
2024-08-14 04:45:22.645,129.06,20.2912,36.704453,1026.4396,27.490536,-95.32412
2024-08-14 04:45:23.653,129.25038,20.284237,36.701725,1026.4402,27.490534,-95.32412
