time,pressure,temperature,salinity,density,latitude,longitude,Turner_angle
2024-06-07 18:07:12.471,0.53,29.4749,34.063995,1021.0662,27.86157,-94.79181,132.5397534668117
2024-06-07 18:33:35.674,0.030000001,29.4724,34.0466,1021.05164,27.804451,-94.76402,9.293576231632992
2024-06-07 18:35:15.674,3.23,29.1014,34.17027,1021.2848,27.804161,-94.76413,53.08460796800453
2024-06-07 18:36:55.674,12.22,28.8445,34.153625,1021.3974,27.804235,-94.764,-7.31358022861173
2024-06-07 18:38:35.674,18.0,27.3871,35.013,1022.55597,27.804289,-94.76406,5.086932025096405
2024-06-07 18:40:15.674,20.94,26.48,35.345802,1023.11285,27.804232,-94.764046,176.5466905077809
2024-06-07 18:41:55.674,13.24,28.7564,34.19394,1021.4619,27.804111,-94.764,-157.04837869783188
2024-06-07 18:43:35.674,0.030000001,29.4585,34.063107,1021.0689,27.803158,-94.76433,-108.44816081287514
2024-06-07 19:32:45.002,1.3600001,29.5254,34.07821,1021.06354,27.793219,-94.76968,0.7482069721874165
2024-06-07 19:34:25.002,20.869999,27.6434,34.91948,1022.4141,27.79317,-94.769424,3.1374432604407163
2024-06-07 19:36:05.002,35.969997,24.4608,36.144047,1024.4122,27.792965,-94.76932,1.5119511222366515
2024-06-07 19:37:45.002,50.960003,23.5321,36.503082,1025.029,27.792725,-94.769264,42.93349247342816
2024-06-07 19:39:25.002,64.57,21.7102,36.52843,1025.6317,27.792503,-94.76927,33.86512701241548
2024-06-07 19:41:05.002,78.24,21.0602,36.576157,1025.9087,27.792297,-94.76919,24.856297626748873
2024-06-07 19:42:45.002,92.31,20.6102,36.63691,1026.14,27.792074,-94.76915,55.04766643664847
2024-06-07 19:44:25.002,105.49,19.9363,36.594017,1026.3462,27.791868,-94.76908,52.157061000211904
2024-06-07 19:46:05.002,118.979996,19.4626,36.57296,1026.5144,27.791649,-94.76902,57.359438260177434
2024-06-07 19:47:45.002,132.01999,18.8507,36.52654,1026.695,27.79143,-94.76901,63.74325259751823
2024-06-07 19:49:25.002,144.84,18.3321,36.466846,1026.8376,27.791235,-94.76892,66.5131813797025
2024-06-07 19:51:05.002,157.01001,17.5479,36.36471,1027.0082,27.791035,-94.768845,70.09375871880586
2024-06-07 19:52:45.002,168.82,17.0918,36.295635,1027.1184,27.790842,-94.76879,70.80655149884996
2024-06-07 19:54:25.002,180.63998,16.6052,36.22091,1027.2299,27.790638,-94.76877,69.46428012480284
2024-06-07 19:56:05.002,192.85999,16.3071,36.17827,1027.3217,27.79044,-94.76871,72.27627406098028
2024-06-07 19:57:45.002,205.25,15.9097,36.114937,1027.4205,27.790228,-94.76871,72.41078614430643
2024-06-07 19:59:25.002,218.08,15.6169,36.068554,1027.509,27.790005,-94.76869,72.893044147983
2024-06-07 20:01:05.002,230.54001,15.0513,35.9791,1027.6235,27.789803,-94.76862,73.16016996951561
2024-06-07 20:02:45.002,242.85999,14.7339,35.929092,1027.7103,27.78959,-94.76862,72.71245170940999
2024-06-07 20:04:25.002,254.59,14.2805,35.860302,1027.8088,27.789398,-94.76857,75.38784723594061
2024-06-07 20:06:05.002,266.2,13.9251,35.801105,1027.8914,27.789196,-94.76855,74.63701485692862
2024-06-07 20:07:45.002,278.09,13.6643,35.75941,1027.9677,27.788992,-94.76852,73.52109847221534
2024-06-07 20:09:25.002,290.09,13.1335,35.680134,1028.0709,27.788801,-94.76845,73.10271111505142
2024-06-07 20:11:05.002,302.11002,12.8546,35.639793,1028.1508,27.788599,-94.768394,80.37051206176157
2024-06-07 20:12:45.002,314.69998,12.5615,35.58427,1028.2235,27.78838,-94.76835,69.7228252743915
2024-06-07 20:14:25.002,327.38998,12.2468,35.546078,1028.3137,27.788162,-94.76831,74.9472244843783
2024-06-07 20:16:05.002,339.90002,12.0421,35.515285,1028.3864,27.787947,-94.768265,74.87927545054863
2024-06-07 20:17:45.002,352.38,11.9521,35.501675,1028.4495,27.78773,-94.768234,74.03641793035544
2024-06-07 20:19:25.002,364.74,11.586,35.449783,1028.5359,27.787514,-94.76822,80.60820084176937
2024-06-07 20:21:05.002,369.79,11.4602,35.427067,1028.5651,27.787367,-94.768166,-105.46619022176885
2024-06-07 20:22:45.002,346.75,12.012,35.506855,1028.4165,27.78704,-94.76814,-105.77890774728746
